,GRE_AW,GRE,TF_S,TF,grad_gpa,grad_rank,username
420,3,318,22,102,88, 本科Top15 211,huiyuning
468,3,330,23,102,88, 本科Top30 211,CYCY
314,,320,,103,88, 本科其他211,rydgelee
3654,,327,,103,88, 本科Top30 211,o0V0o
3840,4,321,,103,88, 本科Top30 211,哭泣绝望的人生
1101,3,320,19,104,88, 本科Top15 211,bryanjhy
4087,4,322,24,106,88, 本科：南大，浙大，复旦，上交,qzpm1234
2678,,321,,106,88, 本科其他211,jihengzuanyong
3060,3,325,22,107,88, 本科Top30 211,wjc
2709,3.5,324,23,108,88, 本科其他211,ctrlaltdelete
515,3.5,322,24,108,88, 本科：南大，浙大，复旦，上交,ChanCheng
577,4,326,,109,88, 本科：北大，清华，科大，中科院，特色学校牛专业,zhoujl10
2424,3.5,324,,112,88, 本科：南大，浙大，复旦，上交,rafaliang
417,,,,,88, 本科Top15 211,sdudxf
3338,,,,,88, 本科Top15 211,sr931112
3721,,,,,88, 本科：南大，浙大，复旦，上交,kayone
1511,,,,,88.05, 本科Top15 211,小夹子
2353,,,,,88.2, 本科Top30 211,zhaotong0312
3688,4,325,20,101,88.26, 本科Top30 211,a751543751
3289,,321,,97,88.28, 本科Top15 211,liukejun
3783,3,322,22,103,88.3, 本科：南大，浙大，复旦，上交,664077398
600,3.5,322,,104,88.3, 本科：南大，浙大，复旦，上交,hsama
2421,3,324,20,105,88.3, 本科Top30 211,aaaakristy
734,3,327,,105,88.3, 本科：北大，清华，科大，中科院，特色学校牛专业,syf921006
3194,3.5,320,23,100,88.4, 本科：南大，浙大，复旦，上交,tinyrookie
3999,,,,,88.4, 本科Top15 211,justoy
3143,3,318,,95,88.45, 本科：南大，浙大，复旦，上交,raxowei
851,,325,19,94,88.5, 本科Top30 211,Dobby
2418,3,325,20,99,88.5, 本科Top30 211,mpgszhyh
2815,,322,22,101,88.5, 本科Top15 211,tinysunhj
3142,,,,,88.5,,xsh6528
3940,3,321,20,105,88.58,,JohnHolmes
3183,2.5,322,23,100,88.6,,liute62
1462,3.5,322,23,105,88.6,,JerryCheung
3406,3.5,330,,111,88.6, 本科Top15 211,whoopss
408,,,,,88.65, 本科：南大，浙大，复旦，上交,南方的狼
3555,3,322,22,101,88.7, 本科Top30 211,yhy4567345
1429,3,320,20,102,88.7, 本科：南大，浙大，复旦，上交,ShawnG
375,3,331,23,101,88.9, 本科其他211,wangxiaohuigre
3399,,,,,88.9, 本科Top15 211,飞翔企鹅
3408,,,,,88.96, 本科Top15 211,shenzhu0127
830,3,323,,95,89, 本科Top30 211,风景园
506,3.5,320,23,99,89,,HappyZhou
2666,3.5,317,,99,89, 本科非211,JingW0212
3326,3,318,19,100,89, 本科Top30 211,Had
75,3,321,23,100,89, 本科Top30 211,whdawn
1280,3,321,23,100,89, 本科：北大，清华，科大，中科院，特色学校牛专业,UpDownDOTA
488,3.5,320,23,101,89, 本科其他211,whyvic13
1937,,320,,101,89, 本科Top15 211,wjq987564321
3411,,325,,102,89, 本科Top15 211,cathvoilet
1007,3,321,23,103,89, 90/100),albja
626,3.5,327,22,104,89, 本科：南大，浙大，复旦，上交,cuchulainnut
3340,4,330,23,104,89, 本科Top15 211,ab123dop
4277,3,323,23,104,89, 本科：北大，清华，科大，中科院，特色学校牛专业,terrykey
2419,3,322,20,105,89, 本科其他211,chuanshuozhiyi
4031,,324,,105,89, 本科其他211,smiling2727
484,4,317,20,106,89, 本科Top15 211,fwtan
573,3,325,24,106,89, 本科其他211,ArtisticLife
489,3.5,318,26,106,89, 本科Top15 211,bjtuharris
2853,4,333,23,107,89, 本科非211,adsafsadf
2708,,332,,107,89, 本科Top15 211,离人笑
409,3.5,321,23,108,89, 本科Top15 211,gynirvana
388,3,327,24,110,89, 本科Top15 211,linaohan1993120
3489,,,,,89, 本科：南大，浙大，复旦，上交,gibson314
227,3,325,22,103,89.2, 本科其他211,Paulnet
3593,3.5,325,23,107,89.2, 本科：南大，浙大，复旦，上交,JackXia
1329,4,321,23,108,89.2, 本科：北大，清华，科大，中科院，特色学校牛专业,leyichm
2782,3,319,23,106,89.22, 本科Top15 211,Harlan
3144,3.5,329,24,111,89.3, 本科Top30 211,hk060655
3156,,,20,96,89.5, 本科其他211,wsyhya
3158,3.5,320,,98,89.5, 本科：北大，清华，科大，中科院，特色学校牛专业,hcl0601
415,3.5,317,,100,89.5, 本科Top30 211,miss_snow
3591,3,315,,95,89.6, 本科非211,supersam1993
2119,,316,,98,89.6, 本科其他211,cc9895
2530,3.5,324,22,100,89.72, 本科Top30 211,jiangxu456
492,3,325,23,103,89.72,,ForTheAC2015
458,3.5,325,23,102,89.86,,gjxwin
2312,,324,23,102,89.89, 本科Top30 211,hi_ydy
751,3,319,,90,89.9, 本科Top30 211,zyy20853
332,3,327,23,105,89.9, 本科Top30 211,dolphin_wby
2368,3,320,,103,89.95, 本科其他211,黄金霸者
1281,3,321,,93,90, 本科：南大，浙大，复旦，上交,New613Life
859,,318,22,98,90, 本科Top30 211,yzy123
462,3,323,,100,90, 本科Top30 211,么凹
521,,320,,100,90, 本科：南大，浙大，复旦，上交,jessicaji
1417,,,,101,90, 本科Top30 211,一席寂然
580,3,321,22,102,90, 本科Top30 211,默de途
1179,3.5,324,22,102,90, 本科非211,wtyelu
3934,3,330,,103,90, 本科Top30 211,jisong_L
935,3.5,321,,104,90, 本科：南大，浙大，复旦，上交,鸣翠柳的阿狸
2662,3,322,,104,90, 本科：南大，浙大，复旦，上交,itsjoox
2221,3,327,,105,90, 本科Top15 211,ljzml
350,3,325,,106,90, 本科：北大，清华，科大，中科院，特色学校牛专业,helloshch
548,3.5,331,,106,90, 本科：南大，浙大，复旦，上交,jerryzh
3211,3.5,325,23,107,90, 本科Top30 211,凝弦望夜
418,3.5,328,24,107,90, 本科Top30 211,zl9394
3634,3,322,23,108,90, 本科：北大，清华，科大，中科院，特色学校牛专业,zjlxwudan
450,4,326,23,109,90, 本科：南大，浙大，复旦，上交,罹年
1064,3,331,22,111,90, 本科：北大，清华，科大，中科院，特色学校牛专业,Fantasy
357,4,332,24,111,90, 本科：南大，浙大，复旦，上交,33300qq
2226,,320,,111,90, 本科Top30 211,燃烧男
353,,,,,90, 本科Top15 211,poiiopppooii
1993,,,,,90, 本科非211,ssphia
3507,,,,,90,,toutouliu
334,3,321,20,102,90.2, 本科Top15 211,mikeyangh1992
3339,,,,,90.22, 本科Top30 211,telotic
3420,3,321,,100,90.3, 本科其他211,ps2che
435,3.5,320,22,101,90.3, 本科Top30 211,sam2015
973,3,328,23,108,90.3, 本科：北大，清华，科大，中科院，特色学校牛专业,breezet
2044,3,325,22,100,90.4, 本科：北大，清华，科大，中科院，特色学校牛专业,goha111
841,,,,,90.5, 本科Top30 211,vivienerwen
904,,319,24,102,90.55,,alex1256
3873,4,337,23,110,90.6, 本科Top30 211,换一种心情
4173,3,319,22,102,90.67, 本科：南大，浙大，复旦，上交,CrystalHu
360,3.5,329,23,104,90.8, 本科其他211,AIw0916
1983,,322,,105,90.88, 本科其他211,yzcaoye
274,3.5,314,23,95,91,,云绾Yuqing
4218,3,322,19,100,91, 本科Top15 211,lucien1227
4224,3.5,319,20,102,91, 本科：北大，清华，科大，中科院，特色学校牛专业,S2freelly
427,3.5,326,24,103,91, 本科：南大，浙大，复旦，上交,Dayflower
725,,318,23,104,91, 本科Top30 211,Coco_Yang
1376,,323,,105,91, 本科Top15 211,wanghwadad
3334,4,325,,109,91, 本科：南大，浙大，复旦，上交,bingo1995
3549,,329,,109,91, 本科Top15 211,464647730
2882,4,327,,110,91, 本科：北大，清华，科大，中科院，特色学校牛专业,phisiart
4045,3.5,323,,111,91, 本科：南大，浙大，复旦，上交,hmy9307
4103,4,331,,115,91, 本科：南大，浙大，复旦，上交,chris_tine
1272,3.5,333,,119,91, 本科：北大，清华，科大，中科院，特色学校牛专业,bessywang1993
188,,,,,91, 本科：南大，浙大，复旦，上交,sleepycactus
1063,3.5,320,20,95,91.1, 本科Top15 211,wawjchinawct
2829,,,,,91.2, 本科Top15 211,JimmyZ
588,3.5,324,20,99,91.4, 本科Top15 211,小赖、
358,3.5,320,23,107,91.4, 本科：南大，浙大，复旦，上交,JoeWest
495,4,327,20,106,91.5, 本科：北大，清华，科大，中科院，特色学校牛专业,wangsl11
3748,3.5,322,23,109,91.5, 本科Top30 211,冥王星上有点冷
4111,3,,,106,91.6, 本科：北大，清华，科大，中科院，特色学校牛专业,tyl5566
4217,3,322,22,107,91.7, 本科其他211,gxx
4242,3.5,325,22,110,91.8, 本科Top30 211,dwna555
586,3.5,329,23,108,91.9, 本科Top30 211,wryswa
3722,3.5,322,,95,92, 本科Top15 211,心上云霄
2093,3,323,,100,92, 本科Top15 211,y_form
3660,3.5,321,,103,92, 本科Top15 211,Clare_Snowy
1222,3.5,319,23,107,92, 本科Top15 211,nanaslipdada
3146,3.5,326,22,108,92, 本科Top15 211,zjcv2012
1548,3.5,327,22,101,92.2,,SophieLiu
3422,3,325,,104,92.3, 本科非211,Haikism
3716,,317,19,98,92.5,,zhangry868
2833,,320,,101,92.5, 本科非211,Collision
2899,3,315,22,93,92.6, 本科Top30 211,flyfollowing
3914,3,325,,105,92.7, 本科Top30 211,小六毛
2844,3,326,22,105,92.82, 本科Top15 211,sxm2357
782,,,,,93.12, 本科：北大，清华，科大，中科院，特色学校牛专业,Weissach
2015,4,325,23,106,93.3, 本科Top15 211,steveyang94
2023,4,328,20,105,93.51, 本科Top15 211,lym953
598,,,,,  , 本科：北大，清华，科大，中科院，特色学校牛专业,低调奢华
4065,3,322,22,101,3.75, 本科：北大，清华，科大，中科院，特色学校牛专业,且食蛤蜊
3837,3,320,,97,3.89, 海本,sstale
3197,,,,83,, 本科Top15 211,熊脚mm
2034,,310,,89,, 本科Top30 211,popolee
646,2.5,320,20,90,, 本科非211,alc9700
3552,,316,,90,, 本科Top30 211,woshijl58
2612,3,317,,91,, 本科非211,richkate
764,,317,18,92,, 本科Top15 211,kiru
956,2.5,313,20,92,, 本科Top15 211,xcw0420
1469,3,310,22,92,,,justin1534
1935,,320,,92,, 本科：南大，浙大，复旦，上交,靖海听潮
2810,,316,,92,, 本科其他211,jasonxzh818
4295,,319,,92,, 本科非211,FamerNine
148,2.5,320,19,93,, 本科其他211,ABAJ
196,3,320,20,93,, 本科其他211,努把力就申完了
302,,327,,93,, 本科非211,suosssss
680,3,310,,93,, 本科非211,魔链老大
101,,309,20,94,, 本科非211,HybridSuns
3172,,,22,94,, 本科其他211,stone1223
207,,317,,94,, 本科：北大，清华，科大，中科院，特色学校牛专业,yyyang
2950,,312,19,95,, 本科非211,hot13399
3885,3,320,22,95,, 本科Top15 211,790037775
2085,3,322,,95,, 本科Top30 211,Frank_ljw
2125,3.5,318,,95,, 本科Top30 211,amanda9819
3813,3,310,,95,, 本科：北大，清华，科大，中科院，特色学校牛专业,codingjam123
3773,3,322,19,96,, 本科其他211,lhpaul
1877,3.5,317,20,96,, 本科非211,tcsoo_
4085,3,312,,96,, 本科其他211,charwing
1127,3,320,19,97,, 本科Top15 211,forestwn
1220,3.5,329,22,97,, 本科：北大，清华，科大，中科院，特色学校牛专业,lhjbj
1069,3,319,23,97,, 本科非211,一米
22,,318,,97,, 本科Top15 211,WFGN
1992,,317,,97,, 本科Top15 211,brightyang
2291,,,,97,, 本科：南大，浙大，复旦，上交,7andsowhat
2638,,,,97,, 本科Top15 211,xiaojiujie
663,3,319,19,98,, 本科Top30 211,czhsuccess
502,3.5,328,20,98,, 本科Top15 211,coperdli
1973,,,,98,, 本科非211,msj6185
2042,3.5,319,,98,, 本科：南大，浙大，复旦，上交,Ciciright
3695,,319,,98,,,BonjourAdeo
1073,3,320,22,99,, 本科Top15 211,cqq2014
429,3,323,24,99,, 本科：南大，浙大，复旦，上交,blue_shut_grab
3599,3,317,,99,,,hss
3878,,322,,99,, 本科Top30 211,yjn
1270,3,319,20,100,,,neverland785
113,3.5,321,22,100,, 本科Top30 211,ppppudding
3867,,319,23,100,, 本科Top30 211,kk1331
116,,320,,100,, 本科Top30 211,qingzi1993
449,3.5,324,,100,, 本科：北大，清华，科大，中科院，特色学校牛专业,Tchief
500,4,329,,100,, 海本,tobyljj
635,3,323,,100,, 本科其他211,happyrabbit
636,3,320,,100,,,Pluto
643,4,322,,100,, 本科Top30 211,simba123
2513,,320,,100,, 本科其他211,ykben
2589,,318,,100,, 本科Top15 211,helen14
2791,,316,,100,, 本科非211,wakebb
2825,4,330,,100,, 本科Top30 211,ivanifan
3168,,324,,100,, 本科：北大，清华，科大，中科院，特色学校牛专业,ephemeron
3274,,328,,100,, 海本,vitac215
3457,,313,,100,, 海本,yuej
3855,,317,,100,, 本科Top15 211,小师妹
4193,3,327,,100,, 本科Top15 211,关渡手稿
2141,3.5,325,20,101,, 本科Top15 211,hitnoah
247,3,,22,101,, 本科Top15 211,lyle
1318,4,328,22,101,, 本科：北大，清华，科大，中科院，特色学校牛专业,J-Miao
3385,3.5,323,23,101,,,Evelyninjuly
4050,3,323,23,101,, 本科：南大，浙大，复旦，上交,BigOrange
27,,321,,101,, 本科Top30 211,xunyz
1238,3.5,323,,101,, 本科：南大，浙大，复旦，上交,nnwoshinn
