,GRE_AW,GRE,TF_S,TF,grad_gpa,grad_rank,username
1982,3,320,19,101,3.16, 本科：南大，浙大，复旦，上交,dczmydc
2243,3.5,320,26,102,3.16, 本科Top30 211,feifeijiejie
472,,316,,107,3.16, 本科其他211,devarenacn
738,,313,,89,3.17, 本科：南大，浙大，复旦，上交,lorabit
2158,,313,,95,3.17, 本科其他211,乌龟大师
2126,3,324,,100,3.17, 本科Top30 211,laobulang
858,,,,106,3.17, 本科：北大，清华，科大，中科院，特色学校牛专业,zyc262626
2792,,316,26,92,3.19, 本科其他211,小张同学
2252,3,312,19,90,3.2, 本科非211,Anthonyrain
889,3,315,,94,3.2, 本科Top15 211,kataku
1190,3,313,,97,3.2, 本科非211,ingerido
79,2.5,318,20,98,3.2, 本科其他211,cooldogrj
485,,317,20,99,3.2, 本科Top30 211,schnappi
2905,3,317,,100,3.2, 海本,l4zhou
1426,3,320,23,102,3.2, 海本,Joe.TANG
431,3,321,22,103,3.2, 本科非211,290219306
3997,3,323,,105,3.2, 本科：北大，清华，科大，中科院，特色学校牛专业,doraemon757
3224,3,320,22,106,3.2, 本科Top15 211,自己人
2808,3.5,325,22,107,3.2, 本科：北大，清华，科大，中科院，特色学校牛专业,dreamdew
6,,,,,3.2, 本科Top15 211,gouber
578,,,,,3.2, 本科Top15 211,zhangyue823
2270,,,,,3.2, 本科Top30 211,fay067
2277,,,,,3.2, 海本,sky00high
4127,,,,,3.2, 本科Top15 211,kiadragon
317,,313,,84,3.21,,tommy1122337
4275,,,,,3.21, 本科Top30 211,学会cl
2414,4,322,,94,3.22, 本科：南大，浙大，复旦，上交,oliviahoneyhu
4203,3,316,22,96,3.22, 本科：北大，清华，科大，中科院，特色学校牛专业,FelixSchmidt
3387,3,327,23,102,3.23, 本科其他211,outstanding915
4161,3.5,323,23,104,3.23, 本科Top30 211,我们的永远
1379,3,310,20,99,3.24, 本科Top30 211,skiphoop
397,3.5,324,22,106,3.24, 本科：南大，浙大，复旦，上交,gqjapply
190,4,329,,106,3.24, 本科：北大，清华，科大，中科院，特色学校牛专业,Wilford
2082,3,319,,95,3.25, 本科Top15 211,zhiz21
200,,,,,3.25, 本科非211,reasonapp
2485,,,,,3.25, 本科Top15 211,gyzjay
2161,,318,22,94,3.26, 本科Top30 211,Michal
2572,,320,,98,3.26, 本科：南大，浙大，复旦，上交,sjtuchris
1028,3.5,319,26,108,3.26,,Paul_Zhang
4234,3.5,321,20,90,3.27, 本科：南大，浙大，复旦，上交,香蕉你个橘子
3529,3,313,24,100,3.27, 本科：南大，浙大，复旦，上交,fluu
4154,,,,102,3.27, 本科Top15 211,Withyue
640,3,321,23,103,3.27, 本科Top30 211,zhan8803705
1218,3,315,,87,3.3, 本科其他211,starwp
3046,,316,23,91,3.3, 本科其他211,橘歆卡卡
413,3,324,20,96,3.3, 本科Top15 211,markqzheng
1170,3.5,324,,96,3.3, 本科：南大，浙大，复旦，上交,renyuxiang
111,,326,27,100,3.3, 本科Top15 211,rainaxxchan
2605,,322,,100,3.3, 本科Top30 211,Funky_QiQi
2904,3.5,315,,100,3.3, 本科Top15 211,白菜3383
3577,3,323,,100,3.3, 本科其他211,改过自新
11,3,317,23,101,3.3, 本科：北大，清华，科大，中科院，特色学校牛专业,allenliu
282,,,,101,3.3, 本科：北大，清华，科大，中科院，特色学校牛专业,dmmzmm
3822,4,322,,102,3.3, 海本,leafsherry
3860,3,325,23,103,3.3, 本科：南大，浙大，复旦，上交,lucyandlily
3287,3.5,327,,103,3.3, 本科非211,宁诺扫地僧
1286,3,316,24,104,3.3, 本科其他211,喵星人阿布
2301,3,323,,105,3.3, 本科Top30 211,609064231
