,username,adschool,result,degree,major,grad_major,grad_school,background,year,ap_time,country,GRE_AW,GRE,TF_S,TF,grad_gpa,grad_rank
4129,dydcfg,Cornell Tech and Princeton,1,MS,CS,, ,,16Fall,2015/12/1,美国,1.5,25,5,18,5.975,6
831,leyichm,CS@Upenn,1,PhD,CS,自动化 , THU,,15Fall,2015/12/15,美国,2,21,5,23,9.2,6
2882,olalalalalalala,NCSU,1,MS,CS,信息安全 , 中国科大,,16Fall,2015/12/10,美国,1.5,25,4,16,5.975,6
4130,dydcfg,Upenn,0,MS,CS,CS , PKU,MSRA实习,16Fall,2015/11/1,美国,1.5,25,5,18,5.975,6
1124,pacman,USC,0,MS,CS,EE , USTC,,15Fall,2014/12/2,美国,1.5,24,4,23,5.075,6
1120,pacman,UTDallas,1,MS,CS,EE , USTC,,15Fall,2014/10/27,美国,1.5,24,4,23,5.075,6
1123,pacman,Brown,0,MS,CS,EE , USTC,,15Fall,2014/12/4,美国,1.5,24,4,23,5.075,6
586,北方的精灵,Upitt,1,MS,MIS,, ,,15Fall,2015/1/15,美国,1,13,5,8,5,6
4161,yuanfang0524,CMU,1,MS,CS,"CS, RI ", PKU,国内水实习，Gatech水实习，一篇ICRA二作,16Fall,2015/12/8,美国,1,26,4,22,9.125,6
3491,northaqua,UChicago,0,MS,CS,, ,,16Fall,2016/1/30,美国,1,19,6,19,5,6
4162,yuanfang0524,UWash,0,PhD,CS,"CS, RI ", PKU,国内水实习，Gatech水实习，一篇ICRA二作刚AC,16Fall,2016/1/15,美国,1,26,4,22,9.125,6
4163,yuanfang0524,Princeton,0,MS,CS,"CS, RI ", PKU,国内水实习，Gatech水实习，一篇ICRA二作刚AC,16Fall,2016/1/15,美国,1,26,4,22,9.125,6
3190,Zhengyuan.Yang,CS@Rutgers,1,PhD,CS,EEIS , USTC,,16Fall,2015/12/14,美国,1.5,23,4,23,9.6875,6
3492,northaqua,NYU Tandon,0,MS,CS,, ,,16Fall,2015/12/20,美国,1,19,6,19,5,6
3575,Casesensiti,UUtah,0,MS,CS,通信 , 北邮,,16Fall,2015/12/20,美国,1,24,0,15,6,6
4165,muzac,"cmu, ucsd",1,MS,CS,cs , 清华,三封实验室老板推荐信,16Fall,2015/12/3,美国,2,30,5,21,5,6
830,leyichm,,0,,,, ,,,,,2,21,5,23,9.2,6
1730,lymustc,CS@Syr,1,MS,CS,EE , USTC,无,15Fall,2014/12/27,美国,1,19,4,13,5.975,6
829,helloshch,Yale,1,PhD,CS,, ,,15Fall,2014/12/31,美国,1,25,4,21,10,6
2883,olalalalalalala,UPenn,0,MS,CS,信息安全 , 科大,阿里实习,16Fall,2015/11/12,美国,1.5,25,4,16,5.975,6
805,zhujf553,USC,1,MS,CS,, ,,15Fall,2014/12/6,美国,1,23,2,17,9.35,6
1471,diligent1787,Cornell,0,PhD,CS,, ,,15Fall,2014/12/15,美国,1.5,22,6,20,5.525,6
806,zhujf553,Rice U,1,PhD,CS,CS , USTC,,15Fall,2014/12/20,美国,1,23,2,17,9.35,6
1472,diligent1787,U Penn,0,PhD,CS,, ,一作核心水文*1,15Fall,2014/12/14,美国,1.5,22,6,20,5.525,6
712,mouwu.lin,Upittz&&Syracuse,1,MS,MIS,CS , BUAA,有个SAP半年实习，小牛推一个,15Fall,2014/12/10,美国,1,23,4,15,5.75,6
713,mouwu.lin,Upittz&&Syracuse,1,MS,MIS,CS , BUAA,有个SAP半年实习，小牛推一个,15Fall,2014/12/10,美国,1,23,4,15,5.75,6
3692,tom10ye,MSIN@INI@CMU,0,MS,CS,电信工程及管理 , 帝都皇家程序员培训学校,,16Fall,2015/12/30,美国,1,22,4,17,5.5,6
3691,tom10ye,UChicago,0,MS,CS,EE , BUPT,,16Fall,2015/12/20,美国,1,22,4,17,5.5,6
999,wbcustc,USC,1,MS,CS,CS , USTC,有实习，无牛推,15Fall,2014/11/10,美国,1,24,4,23,5.3,6
1693,versemonger,University of New Mexico,1,PhD,CS,地球物理 , ,,15Fall,2015/3/2,美国,1,22,4,17,5.975,6
2881,olalalalalalala,Purdue,0,MS,CS,, ,,16Fall,2015/12/15,美国,1.5,25,4,16,5.975,6
644,mm1017,UNC-Chapel Hill,1,MS,MIS,信息管理与信息系统 & 经济 , ,,15Fall,2014/12/11,美国,1,25,10,27,5.975,6
3832,hcl0601,MCIT@UPenn,0,MS,CS,ME , THU,半年IBM实习,16Fall,2015/11/15,美国,1.5,20,4,13,9.5,6
643,mm1017,CMU,1,MS,CS,信息管理与信息系统&经济 , ,,15Fall,2014/12/7,美国,1,25,10,27,5.975,6
642,mm1017,UNC-Chapel Hill,1,MS,MIS,信息管理与信息系统 & 经济 , ,,15Fall,2014/12/11,美国,1,25,10,27,5.975,6
3830,hcl0601,UChicago,1,MS,CS,ME , THU,,16Fall,2015/12/18,美国,1.5,20,4,13,9.5,6
3829,hcl0601,Rice,1,MS,CS,ME , THU,,16Fall,2015/12/16,美国,1.5,20,4,13,9.5,6
1021,bersserker,USC,1,MS,CS,CS , USTC,无牛推无实习 上课拿分数……,15Fall,2014/12/21,美国,1.5,18,2,17,5.975,6
3831,hcl0601,NEU,1,MS,CS,ME , THU,IBM实习半年，一作SCI,16Fall,2015/12/10,美国,1.5,20,4,13,9.5,6
1022,bersserker,Columbia,0,MS,CS,, ,,15Fall,1月下旬,美国,1.5,18,2,17,5.975,6
3622,naco_siren,CS@UWash,1,MS,CS,MIS , THU,,16Fall,2015/12/20,美国,1.5,31,6,24,6,6
3189,Zhengyuan.Yang,UCSD,1,MS,CS,EEIS , USTC,,16Fall,2015/12/15,美国,1.5,23,4,23,9.6875,6
4296,terrykey,CGGT@UPenn,1,MS,CS,机械工程，辅修计算机 , THU,暑期海外实验室研修,16Fall,2015/11/14,美国,1,23,5,19,9,6
4261,lyn6850133,BIC@CMU,1,MS,CS,生物 , ,gap年申请。密大CS实验室实习半年，水会议一作一篇,16Fall,2015/12/15,美国,1,22,6,25,8.3375,6
1664,Fantasy,"CMU, UCSD, Yale",1,MS,CS,CS , THU,一封IEEE fellow推荐信,15Fall,2015/3/6,美国,1,31,4,26,10,6
1330,brendaV,Columbia University,1,PhD,CS,CS , ,,15Fall,2014/12/15,美国,1,31,4,22,4.85,6
4250,dc93,CMU,1,PhD,CS,Machine Intelligence , PKU,一篇paper投稿中,16Fall,2015/12/15,美国,1,23,5,17,8.45,6
1183,wsd10,MSCV@CMU,0,MS,CS,, ,,15Fall,2014/12/15,美国,1,20,4,16,4.85,6
1431,emissary30,Michigan Ann Arbor,1,MS,CS,CS , PKU,CMU推荐信 加看上去没啥用的diversity,15Fall,2015/1/3,美国,1,24,4,19,4.85,6
3257,jimmy94z,CMU,1,MS,CS,SE , SJTU,,16Fall,2015/11/29,美国,1.5,26,4,19,6.9,6
710,zj45499,UCI,1,MS,CS,, ,,15Fall,2014/11/14,美国,1,34,4,27,4.85,6
2771,lipopoxin,UC Davis,1,MS,CS,Physics , ,,16Fall,2016/2/11,美国,1,22,4,17,4.85,6
1429,emissary30,CS@CMU,1,MS,CS,CS , PKU,CMU老板的推荐信,15Fall,2014/12/10,美国,1,24,4,19,4.85,6
3252,jimmy94z,UCI,1,MS,CS,SE , SJTU,,16Fall,2015/11/27,美国,1.5,26,4,19,6.9,6
778,ppks710,NEU,1,MS,CS,测控 , ,,15Fall,2014/10/28,美国,1.5,21,5,21,5,6
3253,jimmy94z,UCSD,1,MS,CS,SE , SJTU,,16Fall,2015/11/29,美国,1.5,26,4,19,6.9,6
1386,ccty2013,Dartmouth,1,PhD,CS,CS , BUPT,,15Fall,2015/1/15,美国,1,22,4,8,4.7,6
1385,ccty2013,NCSU,1,PhD,CS,CS , BUPT,三段实习经历（一个IBM研究院） 5篇水文（3篇已发表）,15Fall,2014/12/15,美国,1,22,4,8,4.7,6
3193,zjlxwudan,"Gatech, UCSB, USC",0,MS,CS,, ,,16Fall,2015/12/15,美国,1,22,5,23,10,6
1861,vzhudiv,gatech,0,MS,CS,EE , ,,15Fall,2015/1/20,美国,1.5,23,5,16,4.56,6
3254,jimmy94z,Gatech,1,MS,CS,, ,,16Fall,2015/12/19,美国,1.5,26,4,19,6.9,6
3255,jimmy94z,RICE,1,MS,CS,SE , SJTU,,16Fall,2015/11/21,美国,1.5,26,4,19,6.9,6
3256,jimmy94z,Dartmouth,0,MS,CS,SE , SJTU,,16Fall,2015/11/29,美国,1.5,26,4,19,6.9,6
3251,jimmy94z,UMich,0,MS,CS,SE , SJTU,,16Fall,2016/1/9,美国,1.5,26,4,19,6.9,6
1182,wsd10,CS @ UCSC,1,MS,CS,工程物理 , 清华,IEEE Conference Paper一篇,15Fall,2014/12/15,美国,1,20,4,16,4.85,6
1665,Fantasy,Stanford,1,MS,CS,CS , THU,,15Fall,2014/12/15,美国,1,31,4,26,10,6
1181,wsd10,EECS@Berkeley,0,MS,CS,, 清华,,15Fall,2014/12/1,美国,1,20,4,16,4.85,6
708,zj45499,Syracuse,1,MS,MIS,, ,,15Fall,2015/1/6,美国,1,34,4,27,4.85,6
1703,UpDownDOTA,Stanford,0,MS,CS,TCS , THU,,15Fall,2014/12/6,美国,1,21,5,15,9,6
1702,UpDownDOTA,U Chicago,1,MS,CS,TCS , THU,,15Fall,2014/12/23,美国,1,21,5,15,9,6
3191,Zhengyuan.Yang,CS(SE)@USC,1,MS,CS,EEIS , USTC,,16Fall,2015/12/7,美国,1.5,23,4,23,9.6875,6
