,username,adschool,result,degree,major,TF,GRE,grad_major,grad_school,grad_gpa,grad_rank,background,year,ap_time,country
713,huamaogy,USC,AD无奖,MS,CS,,,, 重邮,  , 本科非211,,16Fall,2015-12-15,美国
714,ephemeron,USC,AD无奖,MS,CS,,,, ,  , 本科：北大，清华，科大，中科院，特色学校牛专业,,16Fall,2015-12-02,美国
715,jimmy94z,UCI,AD无奖,MS,CS,,,SE , SJTU,  , 本科：南大，浙大，复旦，上交,,16Fall,2015-11-27,美国
716,rilegou3000,UCSC,AD无奖,MS,CS,,,Pure Math , ,  , 海本,,16Fall,2016-01-03,美国
717,LittleAlex,UCSC,AD无奖,MS,CS,,,, ,  ,,,16Fall,2016-01,美国
718,oksa,UCSC,AD无奖,MS,CS,,,, ,  ,,,16Fall,2016-01-15,美国
719,alfonsoxw,ucsc,AD无奖,MS,CS,,,, ,  ,,,16Fall,1-3,美国
720,whitevh,UCSC,AD无奖,MS,CS,100,319+3,CS , ZJU,  3.59/4, 本科：南大，浙大，复旦，上交,,16Fall,2016-01-03,美国
721,linyc_1203,WUSTL,AD无奖,MS,CS,,,, ,  , 本科Top30 211,,16Fall,2015-12-03,美国
722,helen14,WUSTL,AD无奖,MS,CS,100,318,CS , ,  , 本科Top15 211,,16Fall,2016-02-05,美国
723,yhcbme,wustl,AD无奖,MS,CS,,,, ,  ,,,16Fall,2016-01-11,美国
724,洱海沧浪,WUSTL,AD无奖,MS,CS,S23+R30+L30+W27=110,V152+Q170+AW3.5,软件工程 , ECNU 话说ecnu我不知道选哪个档次。。,  3.64/4.0  2/118, 本科Top15 211,,16Fall,2016-01-30,美国
725,yevita,Stony brook,AD无奖,MS,CS,,,, ,  ,,,16Fall,2015-11-26,美国
726,sdlny,Brown,AD无奖,MS,CS,28+29+26+28 = 111,149 170 3.5,SE , SEU,  3.67/4  2/110, 本科Top30 211,,16Fall,2016-01-19,美国
727,laurantmanaco,Brown,AD无奖,MS,CS,,,, ,  , 本科：南大，浙大，复旦，上交,,16Fall,2016-01-08,美国
728,CoolCapri92,Brown,AD无奖,MS,CS,,,, ,  , 海本,,16Fall,2015-12-15,美国
729,bell_ji,Brown,AD无奖,MS,CS,,,, ,  ,,,16Fall,2016-02-24,美国
730,seanxl,Cornell,AD无奖,MS,CS,,,, ,  ,,,16Fall,2016-03-01,美国
731,ann_good2005,Cornell,AD无奖,MS,CS,,,CS + Math double , waterloo,  3.9, 海本,毛都没。。。,16Fall,2015-12-16,美国
732,bell_ji,MEng@Cornell,AD无奖,MS,CS,,,, ,  ,,,16Fall,2016-01-24,美国
733,linyc_1203,Cornell,AD无奖,MS,EE,,,, ,  , 本科Top30 211,,16Fall,2015-11-29,美国
734,拿衣服,康萌CS,AD无奖,MS,CS,,,, NJU,  , 本科：南大，浙大，复旦，上交,,16Fall,2016-02-01,美国
735,sbf1994,NYU GSAS,AD无奖,MS,CS,102,327,自动化 , ZJU,  3.7/4.0, 本科：南大，浙大，复旦，上交,无,16Fall,2015-12-08,美国
736,windsaber,纽约大学,AD无奖,MS,CS,,,, ,  , 本科：南大，浙大，复旦，上交,,16Fall,2015-12-30,美国
737,fjj0916,Purdue,AD无奖,MS,CS,104,322,SE , ,  , 本科：南大，浙大，复旦，上交,,16Fall,2015-12-20,美国
738,Funky_QiQi,WUSTL,Rej,MS,CS,100,152+170,cs , ,  GPA 3.3, 本科Top30 211,无牛推、有水实习、4作论文在审、数学建模..,16Fall,2015-12-21,美国
739,oksa,WUSTL,Rej,MS,CS,,,, ,  ,,,16Fall,2016-01-28,美国
740,甜心,Wustl,Rej,MS,CS,97(20),327(3),se , Buaa,  3.4/4, 本科Top15 211,无,16Fall,2016-02-11,美国
741,zhiz21,WUSTL,Rej,MS,CS,95,V149+Q170+3.0,CS , SCU,  83/100, 本科Top15 211,,16Fall,2016-01-28,美国
742,lisalinner,WUSTL,Rej,MS,CS,,,, ,  ,,,16Fall,2016-03-01,美国
743,codingjam123,Wustl,Rej,MS,CS,,,, ,  ,,,16Fall,2016-03-23,美国
744,ctrlaltdelete,WUSTL,Rej,MS,CS,,,, ,  , 本科其他211,,16Fall,2015-10-16,美国
745,richkate,CS@WUSTL,Rej,MS,CS,90+,150+167+3,, ,  , 本科非211,,16Fall,2016-01-10,美国
746,pplayboyy,WUSTL,Rej,MS,CS,106,322+3,AE , BIT,  79.3/100, 本科Top30 211,,16Fall,2015-12-05,美国
747,wad,WUSTL,Rej,MS,CS,86,314,EE , HIT,  85.5, 本科Top30 211,,16Fall,2015-12-10,美国
748,Michal,WUSTL,Rej,MS,CS,,,SE , SEU,  3.2, 本科Top30 211,,16Fall,2016-01-10,美国
749,maston14,WUSTL,Rej,MS,CS,,,, ,  ,,,16Fall,2016-01-15,美国
750,brittalsh,CS@WUSTL,Rej,MS,CS,,,, ,  , 本科：南大，浙大，复旦，上交,,16Fall,2016-02-28,美国
751,moeminato,WUSTL,Rej,MS,CS,,,SE , ,  , 本科Top15 211,,16Fall,2016-02-01,美国
752,qqqzhouhk,WUSTL，WPI,Rej,MS,CS,,,, ,  ,,,16Fall,2016-02-01,美国
753,vegito2002,SEU,Rej,MS,CS,,,, ,  ,,,16Fall,2016-02-06,美国
754,hypsm,Penn State University,Rej,MS,CS,100,331+3,CS , SJTU,  , 本科：南大，浙大，复旦，上交,,16Fall,2015-12-11,美国
755,wangsiwei,Umass amherst,Rej,MS,CS,,,软件工程 , 东南大学,  , 本科Top30 211,,16Fall,2015-12-01,美国
756,kevinishere,umass,Rej,MS,CS,97,324+3,自动化 , ,  3.71/4, 本科其他211,,16Fall,2015-12-15,美国
757,solar12138,Umass-Amherst,Rej,MS,CS,97,322+3,MIS , ,  3.7/4, 本科其他211,,16Fall,2015-11-23,美国
758,coderredoc,CS@NYU-Tandon,AD小奖,MS,CS,waive,,, ,  3.5, 本科Top30 211,,16Fall,2016-01-17,美国
759,664077398,"nyu poly, wustl meng",AD小奖,MS,CS,,,, ,  , 本科：南大，浙大，复旦，上交,,16Fall,忘了,美国
760,heanmen,UTD,Offer,PhD,CS,,,, ,  ,,,16Fall,2015-12-15,美国
761,kobeliujie,UTD,Offer,PhD,CS,,,CS , 水校,  3.52, 本科Top30 211,,16Fall,2016-03-23,美国
762,cheez56,The University of Pennsylvania,Offer,PhD,CS,,,, ,  ,,,16Fall,2015-12-15,美国
763,hbisheng,CSE@Umich,AD无奖,混合,CS,108(R29 L28 S26 W25),326(V156 Q170)+3.0,CS , THU,  88.5/100 (3.65/4), 本科：北大，清华，科大，中科院，特色学校牛专业,一篇BCI方向的Top Journal二作; 一牛推(然而不是HCI方向的..);,16Fall,2015-12-12,美国
764,lylwill,University of Michigan - Ann Arbor,AD无奖,MS,CS,,,, ,  , 海本,,16Fall,2016-01-15,美国
765,guanlun,NYU GSAS,AD无奖,MS,CS,,,, HKUST,  , 海本,,16Fall,2015-11-15,美国
766,lisalinner,NYU,AD无奖,MS,CS,29 29 22 29,154 164 4.0,, ,  , 本科其他211,,16Fall,2016-01-28,美国
767,supersam1993,WUSTL,AD无奖,MS,CS,,,, ,  ,,,16Fall,2016-01-07,美国
768,ps2che,WUSTL,AD无奖,MS,CS,,,, ,  ,,,16Fall,2016-02-11,美国
769,chuanshuozhiyi,WUSTL,AD无奖,MS,CS,105(20),"156, 166, 3.0",Atmospheric Science , NUIST,  89/100, 本科其他211,,16Fall,2016-02-29,美国
770,Withyue,wustl,AD无奖,MS,CS,,,, ,  ,,,16Fall,2016-1-1,美国
771,xiaojiujie,雪城,AD无奖,MS,CS,97,1350,, ,  , 本科Top15 211,,16Fall,2015-12-31,美国
772,243630184,Georgia Institute of Technology,AD无奖,MS,CS,27+27+22+26=102,150+170=320，写作3.5,计算机科学与技术 , 浙大,  3.66/4 成绩中游水平，具体排名不知道, 本科：南大，浙大，复旦，上交,,16Fall,2016-01-30,美国
773,飞天小女鬼,Gatech,AD无奖,MS,CS,,,, ,  , 本科Top30 211,,16Fall,2016-01-30,美国
774,wjw2022,University of Delaware,AD无奖,PhD,CS,101,318+3.5,CS , AUFE,  WES GPA 3.42, 本科非211,见定位贴,16Fall,2015-11-29,美国
775,solar12138,Stony Brook,AD无奖,MS,CS,97,322+3,MIS , ,  3.7/4, 本科其他211,,16Fall,2015-11-21,美国
776,musteryu,CS@Stony Brook,AD无奖,MS,CS,,,信息与通信工程 , ZJU,  3.85/87, 本科：南大，浙大，复旦，上交,,16Fall,2015-12-01,美国
777,xiaowuyaliu,Rice,AD无奖,MS,CS,,,, ,  ,,,16Fall,2015-12-05,美国
778,kristenwang23,Waterloo,AD无奖,MS,CS,,"V148, Q170, AW3.0",SE , ,  86, 本科Top30 211,无牛推,16Fall,2015-12-14,加拿大
779,怒风逐日,CS@CMU,AD无奖,混合,CS,104,155+169+3.0,EE , 武汉理工大学,  3.5/4.0, 本科Top30 211,两篇顶会，主流会议若干。Columbia教授推荐信一封，Bafflo教授推荐一封。,16Fall,2015-12-15,美国
780,Rangueil座山炮,CS@NEU,Rej,MS,CS,,,, ,  , 本科Top30 211,,16Fall,2016-02-18,美国
781,codingjam123,NEU,Rej,MS,CS,,,, ,  ,,,16Fall,2016-03-23,美国
782,李土它,Cornell,Rej,MS,CS,,,物联网 , 北邮bupt,  83.1, 本科Top15 211,,16Fall,2016-1-10,美国
783,SophieLiu,Cornell,Rej,MS,CS,101 (s22),327 (157+170) + 3.5,SE , SDU,  GPA," 92.2, Rank",ml/dm方向的科研和实习，详见定位贴,16Fall,2015-12-17,美国
784,Chris1993,Cornell,Rej,MS,CS,,,, ,  ,,,16Fall,2016-01-08,美国
785,ctrlaltdelete,Cornell,Rej,MS,CS,,,, ,  , 本科其他211,,16Fall,2015-10-29,美国
786,eveshsh,Rej cs@Dartmouth,Rej,混合,CS,,,, ,  ,,,16Fall,2015-12-31,美国
787,16fly,Umass,Rej,MS,CS,,,, ,  ,,,16Fall,2015-12-15,美国
788,ChaceLei,Umass amherst,Rej,MS,CS,,,, ,  , 本科其他211,,16Fall,2015-12-13,美国
789,iakul2,Umass Amherst,Rej,MS,CS,,,, ,  , 本科Top30 211,,16Fall,2015-12-13,美国
790,请叫我小纯纯,UMASS Amherst,Rej,MS,CS,,,, ,  ,,,16Fall,2015-11-15,美国
791,TWFF,UMASS,Rej,MS,CS,,,, ,  ,,,16Fall,2015-11-30,美国
792,amanda9819,Umass,Rej,MS,CS,,,, ,  , 本科Top30 211,,16Fall,2015-12-10,美国
793,sensir,umass-Amherst,Rej,MS,CS,101,323,, ,  83, 本科Top30 211,BAT实习一年工作两年,16Fall,2015-12-15,美国
794,vincentzoe,UMass,Rej,MS,CS,,,, ,  , 本科Top30 211,,16Fall,2015-12-06,美国
795,itsjoox,NJU,AD小奖,MS,CS,104,322+3,SE , ,  17/184, 本科：南大，浙大，复旦，上交,,16Fall,01/2016,美国
796,kany1111,"Columbia, GaTech",Rej,PhD,CS,,,, ,  , 本科Top30 211,,16Fall,2015-12-01,美国
797,mhyang,WUSTL,AD无奖,MS,CS,,,, ,  , 本科非211,,16Fall,2016-02-02,美国
798,与子成说,"CS@USC, EE@USC",AD无奖,MS,CS,,,, ,  , 本科Top15 211,,16Fall,2015-12-01,美国
799,JingW0212,Stevens Institute of Technology,AD无奖,MS,CS,99,147 170 3.5,信息与计算科学 , ,  89/100，2/50, 本科非211,,16Fall,2016-02-29,美国
800,飞天小女鬼,Purdue,AD无奖,MS,CS,,,, ,  , 本科Top30 211,,16Fall,2015-12-20,美国
801,maston14,Purdue,AD无奖,MS,CS,,,, ,  ,,,16Fall,2015-12-10,美国
802,punk86862011,Columbia,AD无奖,MS,CS,94 (R:26 L:23 S:23 W:22),316 (V:146 Q:170) AWA:3.0,Electrical Engineering , National Taiwan University,  3.94/4.0排名, 20%,,16Fall,2016-02-10,美国
803,燃烧男,Brown,Rej,MS,CS,111,320,CS , BIT,"  GPA 90+, Rank 1", 本科Top30 211,,16Fall,2016-01-06,美国
804,pwwpcheng,Brown,Rej,MS,CS,105(S24),329+3.5,CS , BUPT,  85, 本科Top30 211,,16Fall,2016-01-03,美国
805,ForeverZard,Brown,Rej,MS,CS,106(23),324=154+170 3,SE , CQU,  3.73/4(89.2/100), 本科Top30 211,无牛推,16Fall,2015-12-04,美国
806,shelly1996,cs@brown,Rej,MS,CS,,,, ,  ,,,16Fall,2016-12-01,美国
807,mikemoto,BROWN,Rej,MS,CS,,,SE , SYSU,  , 本科Top15 211,,16Fall,2015.12.9,美国
808,luosh5,Brown,Rej,MS,CS,,,SE , SYSU,  , 本科Top15 211,,16Fall,2015-11-10,美国
809,huangyuhen,Brown University,Rej,MS,CS,,,, ,  ,,,16Fall,01-11-2016,美国
810,yurens,Brown University,Rej,MS,CS,,,, ,  , 海本,,16Fall,2015-12-15,美国
811,jihengzuanyong,RICE,Rej,MS,CS,106,321,电子科学与技术 , UESTC,  88, 本科其他211,,16Fall,2015-12-11,美国
812,o0V0o,Rice,Rej,MS,CS,,,, ,  ,,,16Fall,1.12,美国
813,Believers,MCSE@RICE,Rej,MS,CS,,,, ,  ,,,16Fall,2015-11-15,美国
814,minfan2out,Rice University,Rej,MS,CS,,,, ,  ,,,16Fall,01/10/2016,美国
815,南方Giraffe,MCSE@Rice,Rej,MS,CS,,,, ,  ,,,16Fall,2015-11-20,美国
816,翱翔天空的蜗牛,mcse@RICE,Rej,MS,CS,,,, SCUT,  , 本科Top30 211,,16Fall,2016-1-07,美国
817,northaqua,Rice,Rej,MS,CS,,,, ,  ,,,16Fall,2015-12-12,美国
818,ywhust,MCSE@Rice,Rej,MS,CS,,,, ,  , 本科Top15 211,,16Fall,2016.01.11,美国
819,Liam23,cs@University of Colorado Boulder,Rej,MS,CS,,,, ,  ,,,16Fall,2015-12-01,美国
820,离人笑,Rochester,AD小奖,MS,CS,,,, ,  ,,,16Fall,11.30,美国
821,xingsuo,Rochester,AD小奖,MS,CS,,,, ,  ,,,16Fall,2016/02/01,美国
822,solar12138,University of Rochester,AD小奖,MS,CS,97,322+3.0,MIS , ,  3.7/4, 本科其他211,,16Fall,2015-12-1,美国
823,oksa,U of Rochester,AD小奖,MS,CS,,,, ,  ,,,16Fall,2016-01-15,美国
824,tonyzhang_1995,CS@Rochester,AD小奖,MS,CS,,,, ,  , 本科Top30 211,,16Fall,2015-11-30,美国
825,端倪,Rochester,AD小奖,MS,CS,103（23）,151+170+3,, ,  , 本科Top30 211,,16Fall,2016-02-15,美国
826,pirateshadow,Cornell,WaitingList,MS,CS,,,EE , UESTC,  , 本科其他211,,16Fall,2015-12-30,美国
827,eveshsh,CS(MS)@NYU-PLOY; MSE-CS(MS)@JHU; REJ@CMU-INI,AD小奖,混合,CS,考了好几次T，都是90左右，已经不记得哪个学校投的哪个分数了。。。总有弱项。,326+3.0,计算机科学与技术 , ,  3.7, 本科Top30 211,无,16Fall,2016-02-08,美国
828,clownxiao,NYU-tandon,AD小奖,MS,CS,99(19),157+170+3,SE , BUPT,  86/100 RANK 10/97, 本科Top15 211,,16Fall,2016-01-10,美国
829,ps2che,NYU,AD小奖,MS,CS,,,, ,  ,,,16Fall,2016-01-23,美国
830,cammyluffy,jhu,AD无奖,MS,CS,,,, ,  ,,,16Fall,2016-01-20,美国
831,vegito2002,JHU,AD无奖,MS,CS,112（24）,163+170+4,测控 , SEU,  3.1/4.0（WES自算）, 本科Top30 211,无背景，普通推,16Fall,2016-02-06,美国
832,little_littfish,JHU,AD无奖,MS,CS,101(20),152+164+3,, ,  3.64/4, 本科Top15 211,无牛推/几个校内项目,16Fall,2016-01-24,美国
833,李十一次郎,JHU,AD无奖,MS,CS,106,328+4,CS , ZJU,  3.73/3.93, 本科：南大，浙大，复旦，上交,Intel @ Santa Clara,16Fall,2016-02-10,美国
834,洗脑进行中,Jhons Hopkins University,AD无奖,MS,CS,104(22),327+3,, University of Liverpool,  3.89, 海本,,16Fall,2016-01-04,美国
835,wy3966,JHU,AD无奖,MS,CS,102,322,IOT , XJTU,  84.5/100, 本科Top30 211,,16Fall,2015-11-30,美国
836,z-ling,Johns Hopkins University,AD无奖,MS,CS,,,Software Engineering , ECNU,  3.64(4), 本科Top30 211,,16Fall,2015-12-15,美国
837,hypsm,JHU,AD无奖,MS,CS,100,331,CS , SJTU,  3.56/4, 本科：南大，浙大，复旦，上交,,16Fall,2015-12-13,美国
838,niloiv,JHU,AD无奖,MS,CS,,,, ,  , 本科：南大，浙大，复旦，上交,,16Fall,2015-12-11,美国
839,minfan2out,Johns Hopkins University,AD无奖,MS,CS,,,, ,  ,,,16Fall,2016-02-03 （美东时间）,美国
840,steveyang94,Johns Hopkins & Purdue,AD无奖,MS,CS,106(S23),170+155+4.0,CS , HIT,  93.3/100, 本科Top15 211,,16Fall,2015-12-04,美国
841,离人笑,JHU,AD无奖,MS,CS,107,332,Physics , XJTU,  89, 本科Top15 211,,16Fall,2015-11-30,美国
842,ctrlaltdelete,UCSB,Rej,MS,CS,108(23),324+3.5,ECE , WHUT,  88%, 本科其他211,,16Fall,2015-10-31,美国
843,lym953,JHU,AD无奖,MS,CS,R29+L29+S20+W27=105,328(V158+Q170)+4.0,CS , XJTU,"  93.51/100, 3.92/4(WES), 1/137", 本科Top15 211,数学建模国家二等奖、ACM-ICPC陕西省邀请赛金奖、本校水项目、MSRA水实习,16Fall,2016-01-10,美国
844,paopao12345,JHU,AD无奖,MS,CS,97(20),157+170+3.5,, ,  89/100, 本科Top30 211,MSRA实习,16Fall,2016-01-30,美国
845,yzhang2,JHU,AD无奖,MS,CS,,,, ,  , 本科Top30 211,,16Fall,2015-11-26,美国
846,linyc_1203,JHU,AD无奖,MS,CS,,,, ,  , 本科Top30 211,,16Fall,2015-12-10,美国
847,slothOn,JHU,AD无奖,MS,CS,106,327,GIS , WHU,  3.96, 本科Top15 211,,16Fall,2016-10-30,美国
848,laahaa,USC(37) Buffalo GWU UTD,AD无奖,MS,CS,,,材料 , ,  91.25 4分制3.63 ranking12/325, 本科Top30 211,没有任何相关背景 如果C++75分算的话就这一个吧,16Fall,忘了。。。,美国
849,samurai_sz,Syracuse University,AD无奖,MS,CS,,,social work , ,  3.6/4.0, 本科非211,,16Fall,2015-12-09,美国
850,Aix,Syracuse,AD无奖,MS,CS,,,CS , ,  84.3, 本科非211,,16Fall,2016-01-15,美国
851,helen14,Syracuse U,AD小奖,MS,CS,100,318,CS , ,  3.8, 本科Top15 211,,16Fall,2016-01-30,美国
852,smilingsoul,MPS IS@Cornell,AD无奖,MS,CS,29 29 27 27 112,159 167 4,大气科学 , NJU,  85, 本科：南大，浙大，复旦，上交,两封美国老板 一封国内C语言老师,16Fall,2016-02-14,美国
853,zhaojun,InfoSci@Cornell,AD无奖,MS,CS,,,CS , ,  , 本科Top15 211,,16Fall,2016-01-10,美国
854,soarbus,Info Science@Cornell,AD无奖,MS,CS,,,, ,  , 本科Top30 211,,16Fall,2015-12-12,美国
855,Caoyoung,William&Mary College,AD无奖,MS,CS,,,, ,  ,,,16Fall,2016-01-30,美国
856,顶塔狂魔黄继光,Purdue & Columbia,AD无奖,MS,CS,IELTS7.5,163+168+3.5,CS , CityU HK,  4/91, 海本,实习一年,16Fall,2015-12-17,美国
857,brightyang,UCSB,Rej,MS,CS,,,CS , JLU,  , 本科Top15 211,,16Fall,2015-12-15,美国
858,ykben,UCSB,Rej,MS,CS,100,150+170,, ,  , 本科其他211,,16Fall,2015-12-15,美国
859,daisynowhere,UCSB,Rej,MS,CS,,,CS , ZJU,  , 本科：南大，浙大，复旦，上交,,16Fall,2016-01-15,美国
860,liliman,"CS@UCSB, Brown",Rej,MS,CS,,,, ,  , 本科：南大，浙大，复旦，上交,,16Fall,2015-12-01,美国
861,SnowJF,ucsb,Rej,MS,CS,,,, ,  ,,,16Fall,2015-12-13,美国
862,mikemoto,"NEU, INI@CMU, UCSB",Rej,MS,CS,,,软件工程 , 中山大学,  , 本科Top15 211,,16Fall,很早,美国
863,白菜3383,UCSB,Rej,MS,CS,,,, ,  , 本科Top30 211,,16Fall,2015-12-15,美国
864,shelly1996,cs@ucsb,Rej,MS,CS,,,, ,  ,,,16Fall,2015-12-01,美国
865,ctrlaltdelete,UCSB,Rej,MS,CS,108(23),324+3.5,ECE , WHUT,  88%, 本科其他211,,16Fall,2015-10-31,美国
866,抱考拉的桉树猫,UCSB,Rej,MS,CS,,,, ,  ,,,16Fall,2015-10-22,美国
867,偶尔学习的死神,ucsb,Rej,MS,CS,,,, ,  ,,,16Fall,2016-03-18,美国
868,hss,ucsb,Rej,MS,CS,,,, ,  ,,,16Fall,2015-12-15,美国
869,FFFelix,USC UCSB,Rej,MS,CS,,,, ,  ,,,16Fall,1215之前,美国
870,yhcbme,UCSB,Rej,MS,CS,,,, ,  , 本科：南大，浙大，复旦，上交,,16Fall,2015-12-08,美国
871,jasonxzh818,UCSB,Rej,MS,CS,,,, ,  ,,,16Fall,2015-12-15,美国
872,wanghx,ucsb,Rej,MS,CS,27 25 23 25(100),149+166+3.5,se , ,  84.7/100, 本科其他211,被EI收录三作，四作，五作各一篇,16Fall,2015 12月15前,美国
873,lishiming9,UCSB UCSC Stanford Chicago,Rej,MS,CS,waived,152+170+3,CS , ,  2.64, 海本,,16Fall,2015-12-15,美国
874,olivelihui,ucsb,Rej,MS,CS,,,, ,  , 海本,,16Fall,2015-12-08,美国
875,maticzc,UCSB,Rej,MS,CS,109(24),158 168 3.5,EE , FDU,  3.47/4.00, 本科：南大，浙大，复旦，上交,,16Fall,2015-12-14,美国
876,MapleZ,UCSB,Rej,MS,CS,,,, ,  ,,,16Fall,2015-12-14,美国
877,wwyiyi,UCSB,Rej,MS,CS,106,322,cs , ,  3.6, 本科Top30 211,,16Fall,2015-12-14,美国
878,whitevh,UCSB,Rej,MS,CS,100,319+3,CS , ZJU,  3.57/4, 本科：南大，浙大，复旦，上交,,16Fall,2015-12-15,美国
879,pirateshadow,UCSB,Rej,MS,CS,,,电子信息工程 , UESTC,  3.8, 本科其他211,,16Fall,2015-12-03,美国
880,dianedan,UCSB,Rej,MS,CS,,151+163+3.0,CS , ,  3.62, 海本,工作(sofeware deverlop)两年,16Fall,2015-12-15,美国
881,1451427216,BUPT,Rej,MS,CS,,,, ,  , 本科Top30 211,,16Fall,2015-12-09,美国
882,brightyang,UCSB,Rej,MS,CS,,,CS , JLU,  , 本科Top15 211,,16Fall,2015-12-15,美国
883,underdish,UCSB,Rej,MS,CS,,,, ,  , 本科Top30 211,,16Fall,12.15,
884,Sharonjiang,CS@GWU,Rej,MS,CS,,,, ,  , 本科Top15 211,,16Fall,2016-12-13,美国
885,ShalynChin,BU,Rej,MS,CS,,,, ,  ,,,16Fall,2016-01-05,美国
886,jacobli1995,UMass,Rej,MS,CS,,,, ,  , 本科Top15 211,,16Fall,2015-12-02,美国
887,whitevh,Rochester,AD小奖,MS,CS,100,319+3,CS , ZJU,  3.59/4 83./100, 本科：南大，浙大，复旦，上交,,16Fall,2016-01-15,美国
888,laviniatx,University?of?Rochester,AD小奖,MS,CS,,,, ,  , 本科其他211,,16Fall,2016-01-08,美国
889,Deus,Rochestor,AD小奖,MS,CS,,,CS , ZJU,  , 本科：南大，浙大，复旦，上交,,16Fall,2016-01-17,美国
890,maticzc,NYUpoly,AD小奖,MS,CS,109(24),158 168 3.5,EE , FDU,  3.47/4.00, 本科：南大，浙大，复旦，上交,,16Fall,2016-02-05,美国
891,13123001,NYU-Tandon,Offer,MS,CS,,,通信工程 , ,  , 本科Top30 211,,16Fall,2015-12-21,美国
892,ada要offer,NYU,AD小奖,MS,CS,,,, ,  , 本科Top30 211,,16Fall,2016-02-01,美国
893,0825jie,Tandon@NYU,AD小奖,MS,CS,85,316,, ,  3.5, 本科其他211,,16Fall,2016-01-13,美国
894,Seddas,CS@USC,AD无奖,MS,CS,101/s23,320/3,SE , DLUT,  3.64/4, 本科Top30 211,半年工作经验,16Fall,2015-12-25,美国
895,ailsa4v,USC,AD无奖,MS,CS,105,325,CS , ,  3.89, 海本,,16Fall,2015-11-09,美国
896,潜水小鱼,"CE,CS(37)@ USC",AD无奖,MS,CS,26+26+22+22=96,149+167=316,, ,  88, 本科其他211,,16Fall,2015-12-14,美国
897,MayYao,GaTech,AD无奖,MS,CS,110(23),158+170+4,Information Engineering , ,  3.99/4, 海本,兩個本校教授，一個實習時的researcher，都不牛,16Fall,2016-01-21,美国
898,jty2005,Gatech,AD无奖,MS,CS,,,, ,  ,,,16Fall,2016-02-01,美国
899,ultimecia7,CS@Gatech,AD无奖,MS,CS,108(27+29+23+29),332(162+170+3.5),CS , FDU,  3.41, 本科：南大，浙大，复旦，上交,,16Fall,1月底,美国
900,fjj0916,Gatech,AD无奖,MS,CS,104,322,SE , ,  , 本科：南大，浙大，复旦，上交,,16Fall,2016-01-23,美国
901,李十一次郎,GaTech,AD无奖,MS,CS,,,, ,  ,,,16Fall,2016-02-01,美国
902,samparly,Rutgers,AD无奖,MS,CS,,,, ,  , 本科Top15 211,,16Fall,2015-12-10,美国
903,Allen_Liu,UTD,AD无奖,MS,CS,,,, ,  ,,,16Fall,2015-12-12,美国
904,christina0410,UTD,AD无奖,MS,CS,,,, ,  , 本科Top30 211,,16Fall,2016-02-16,美国
905,南方Giraffe,Johns Hopkins University,AD无奖,MS,CS,111,322,信息工程 , 华南理工大学,  87.7, 本科Top30 211,无,16Fall,2015-11-18,美国
906,yhcbme,JHU,AD无奖,MS,CS,,,, ,  , 本科：南大，浙大，复旦，上交,,16Fall,2015-12-10,美国
907,huangyuhen,JHU,AD无奖,MS,CS,,,, ,  , 海本,,16Fall,2016-01-11,美国
908,laobulang,CS@JHU,AD无奖,MS,CS,雅思7.0,324+3,CS , ECNU,  3.17/4, 本科Top30 211,Imagine Cup，学校，市级竞赛，暑期实习,16Fall,2015-11-27,美国
909,songhm,JHU,AD无奖,MS,CS,94(19),319,CS , SYSU,  3.8/4, 本科Top15 211,,16Fall,2016-01-17,美国
910,laurantmanaco,Stanford,Rej,MS,CS,,,, ,  , 本科：南大，浙大，复旦，上交,,16Fall,2015-12-15,美国
911,ellewoods2015,Stanford,Rej,MS,CS,115=30+30+29+26,"325 = V:155 + Q:170, AW: 4.0",, SJTU,  , 本科：南大，浙大，复旦，上交,,16Fall,2015-12-04,美国
912,怎么又笑了,Stanford,Rej,MS,CS,,,CS , PKU,  , 本科：北大，清华，科大，中科院，特色学校牛专业,,16Fall,2015-12-08,美国
913,Michelleeeeee,Stanford,Rej,MS,CS,,,工程管理 , TJU,  84/100, 本科Top15 211,,16Fall,2015-12-08,美国
914,CoolCapri92,Stanford,Rej,MS,CS,,,, ,  ,,,16Fall,2015-11-23,美国
915,Harlan,Stanford,Rej,MS,CS,106(s23),149+170+3,CS , BUPT,  89.22(major 92.69)  1/300, 本科Top15 211,,16Fall,2015-12-07,美国
916,灰溜溜溜溜,Stanford,Rej,MS,CS,,,, ,  ,,,16Fall,2015-12-01,美国
917,lyfyueye,stanford ucb,Rej,MS,CS,,,, ,  ,,,16Fall,2015-12-8,美国
918,燃烧男,Stanford,Rej,MS,CS,111,320,CS , BIT,"  90+, Rank 1", 本科Top30 211,2水paper+conference，1个军工项目，都是优化方向，美赛M，CCF OUA,16Fall,2015-12-03,美国
919,steveyang94,Stanford,Rej,MS,CS,106(S23),155+170+4.0,CS , HIT,  93.3/100, 本科Top15 211,,16Fall,2015-12-04,美国
920,ryan7six,Stanford,Rej,MS,CS,97 (s23),141+168+3.0,软件工程 , BUAA,  3.83/4.0 Rank 2/140, 本科Top15 211,,16Fall,2015-12-07,美国
921,ivanifan,Stanford University,Rej,MS,CS,,,, ,  , 本科Top30 211,,16Fall,2016-01-01,美国
922,yzhang2,Stanford,Rej,MS,CS,,,, ,  , 本科Top30 211,,16Fall,2015-11-26,美国
